id,Geographic Area Name,County,Total Households,With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,With dial-up Internet subscription alone PERCENT,With a broadband Internet subscription PERCENT,Without an Internet subscription PERCENT,Better than US average - With dial-up Internet subscription alone,Better than US average - With a broadband Internet subscription,Better than US average - Without an Internet subscription,GEOID
1400000US35001004729,"Census Tract 47.29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1792.8,11.110176,1438.466688,343.942848,0.006197108433734939,0.8023575903614458,0.19184674698795182,0.5492771084337348,-0.029797351437187713,-0.1285102763997165,35001004729
1400000US35001000115,"Census Tract 1.15, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1857.307,11.507133,1490.9579360000002,355.588939,0.006195600942655145,0.802752553024352,0.19145404556166534,0.5489002356637862,-0.029319766596914227,-0.12620026800979606,35001000115
1400000US35001003717,"Census Tract 37.17, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2385.76,14.775136,1916.7681280000002,455.17932800000005,0.006193052109181141,0.8034203473945409,0.19079007444168736,0.5482630272952852,-0.028512276427399192,-0.12229455553933731,35001003717
1400000US35001004402,"Census Tract 44.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1568.0085000000004,9.710752500000002,1259.7714660000001,299.15893500000004,0.006193048379520901,0.8034213245655236,0.1907891028651949,0.5482620948802253,-0.028511094842172246,-0.12228884038349935,35001004402
1400000US35001000601,"Census Tract 6.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1979.15,12.256962,1590.093856,377.597726,0.006193043478260869,0.8034226086956521,0.19078782608695652,0.5482608695652172,-0.028509542085064076,-0.12228132992327356,35001000601
1400000US35001000129,"Census Tract 1.29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2522.5,15.611248,2029.438024,478.47385399999996,0.0061887999999999995,0.8045344,0.18968239999999997,0.5471999999999998,-0.027165175332527308,-0.11577882352941153,35001000129
1400000US35001002900,"Census Tract 29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1794.6360000000002,11.106072,1443.996072,340.262046,0.006188481675392669,0.8046178010471203,0.18959947643979055,0.5471204188481672,-0.027064327633470057,-0.11529103788112083,35001002900
1400000US35001001800,"Census Tract 18, Bernalillo County, New Mexico","Bernalillo County, New Mexico",512.356,3.170328,412.34972000000005,97.044034,0.0061877444589309,0.8048109517601044,0.18940743155149933,0.5469361147327249,-0.02683077175319909,-0.11416136206764306,35001001800
1400000US35001003600,"Census Tract 36, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3198.4570000000003,19.782838999999996,2576.352864,603.6244770000001,0.006185119574844994,0.805498671390611,0.18872364924712134,0.5462798937112484,-0.025999188161292652,-0.11013911321836077,35001003600
1400000US35001000904,"Census Tract 9.04, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2459.322,15.210234,1981.2338639999998,463.880412,0.006184726522187822,0.8056016511867904,0.18862125902992774,0.5461816305469556,-0.025874666037738425,-0.10953681782310427,35001000904
1400000US35001000501,"Census Tract 5.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1882.5280000000002,11.642624,1516.6454400000002,355.00747200000006,0.006184568835098335,0.8056429652042361,0.1885801815431165,0.5461422087745836,-0.025824709547477637,-0.10929518554774409,35001000501
1400000US35001004501,"Census Tract 45.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1675.6,10.361455999999999,1350.304128,315.618288,0.006183728813559322,0.8058630508474577,0.1883613559322034,0.5459322033898304,-0.025558584223146774,-0.10800797607178467,35001004501
1400000US35043940700,"Census Tract 9407, Sandoval County, New Mexico","Sandoval County, New Mexico",942.1500000000001,10.19865,754.2975000000001,177.42615,0.010824868651488616,0.8006129597197899,0.18832049036777582,1.706217162872154,-0.03190694108852505,-0.1077675903986812,35043940700
1400000US35001000708,"Census Tract 7.08, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3756.2400000000002,23.21988,3029.02968,705.5273400000001,0.006181681681681681,0.8063993993993994,0.18782807807807808,0.5454204204204203,-0.024910037001935486,-0.10487104751810628,35001000708
1400000US35001003002,"Census Tract 30.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1690.5555,10.445629499999999,1364.5327139999997,316.2712859999999,0.00617881489250131,0.8071504981646563,0.18708127949659145,0.5447037231253276,-0.024001816004043202,-0.100478114685832,35001003002
1400000US35001003707,"Census Tract 37.07, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2463.5875,15.2196175,1989.1234900000002,460.25714000000005,0.006177827050997783,0.807409312638581,0.1868239467849224,0.5444567627494457,-0.02368886017100255,-0.0989643928524846,35001003707
1400000US35001000502,"Census Tract 5.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3052.973,18.856297,2466.162684,569.211276,0.006176372015081693,0.8077905320485965,0.1864449099287809,0.5440930037704232,-0.023227893532531494,-0.09673476428694643,35001000502
1400000US35001000119,"Census Tract 1.19, Bernalillo County, New Mexico","Bernalillo County, New Mexico",533.544,3.2933839999999996,431.511136,98.960192,0.006172656800563777,0.8087639182522904,0.185477096546864,0.5431642001409442,-0.02205088482189798,-0.09104174439331761,35001000119
1400000US35001004749,"Census Tract 47.49, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2904.129,17.920503,2350.245168,537.167529,0.00617069799585349,0.8092771250863856,0.18496682791983413,0.5426744989633725,-0.021430320330851824,-0.0880401642343183,35001004749
1400000US35001000204,"Census Tract 2.04, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1439.288,8.881207999999999,1164.836192,266.167504,0.006170556552962297,0.8093141831238779,0.18492998204667863,0.5426391382405743,-0.02138551012832181,-0.08782342380399184,35001000204
1400000US35001003738,"Census Tract 37.38, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2157.8375,13.3144375,1746.5311500000003,398.88712499999997,0.006170268845545598,0.8093895624670533,0.18485503426462835,0.5425672113863995,-0.021294362192196825,-0.08738255449781374,35001003738
1400000US35043011200,"Census Tract 112, Sandoval County, New Mexico","Sandoval County, New Mexico",1109.7,12.14676,892.23336,205.06661999999997,0.010945985401459853,0.8040311435523113,0.18479464720194644,1.7364963503649633,-0.027773707917398735,-0.0870273364820378,35043011200
1400000US35001003731,"Census Tract 37.31, Bernalillo County, New Mexico","Bernalillo County, New Mexico",431.94000000000005,2.6647799999999995,349.71408,79.74054000000001,0.006169329073482426,0.8096357827476038,0.18461022364217253,0.5423322683706066,-0.02099663512986243,-0.0859424920127795,35001003731
1400000US35001003725,"Census Tract 37.25, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1872.46,11.55181,1516.01374,345.67215500000003,0.006169322709163347,0.8096374501992032,0.1846085657370518,0.5423306772908366,-0.02099461886432512,-0.08593273962971645,35001003725
1400000US35001003501,"Census Tract 35.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2819.059,17.384591,2284.274292,518.574528,0.006166806370494551,0.8102967309304274,0.18395305951383067,0.5417015926236378,-0.020197423300571518,-0.08207682066959213,35001003501
1400000US35001000707,"Census Tract 7.07, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3266.0175,20.1398875,2646.70793,600.5308,0.006166497117667006,0.8103777551712446,0.183872499152255,0.5416242794167515,-0.020099449611554434,-0.08160293618973527,35001000707
1400000US35001004001,"Census Tract 40.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2229.1319999999996,13.745451999999997,1806.5658079999998,409.74997599999995,0.006166279969064191,0.8104346481051818,0.18381593194122198,0.5415699922660477,-0.020030655253710065,-0.08127018788954096,35001004001
1400000US35001000711,"Census Tract 7.11, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1690.696,10.423475999999999,1370.677784,310.300438,0.006165198237885462,0.8107180616740088,0.18353414096916298,0.5412995594713655,-0.019687954444971255,-0.07961259393625277,35001000711
1400000US35001004746,"Census Tract 47.46, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2751.099,16.945175,2234.530324,500.77976,0.006159420289855072,0.8122318840579709,0.18202898550724636,0.539855072463768,-0.017857455794473037,-0.07075873827791969,35001004746
1400000US35001003719,"Census Tract 37.19, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2900.261,17.858113,2357.20758,526.417164,0.006157415832575068,0.8127570518653321,0.18150682438580526,0.539353958143767,-0.0172224282160435,-0.06768720226944262,35001003719
1400000US35001000712,"Census Tract 7.12, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2154.1040000000003,13.2634,1750.8455040000003,390.90276000000006,0.00615727002967359,0.8127952522255193,0.18146884272997033,0.5393175074183976,-0.017176236728513632,-0.06746378076453124,35001000712
1400000US35001000110,"Census Tract 1.10, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2120.5205,13.052840499999999,1724.538522,383.824539,0.006155488947171224,0.813261895841139,0.18100487073810415,0.5388722367928059,-0.016611976008296395,-0.06473453375355372,35001000110
1400000US35043940600,"Census Tract 9406, Sandoval County, New Mexico","Sandoval County, New Mexico",576.0525,6.393314999999999,465.64355,103.8939275,0.011098493626882965,0.8083352645809193,0.18035496330629588,1.7746234067207411,-0.022569208487401158,-0.06091154886056395,35043940600
1400000US35001003502,"Census Tract 35.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1590.763,9.786510999999997,1295.1251559999998,286.52574799999996,0.006152086137281291,0.8141534320323014,0.18011843876177658,0.5380215343203226,-0.015533939501449424,-0.059520228010450385,35001003502
1400000US35001004745,"Census Tract 47.45, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1547.1774999999998,9.516747499999997,1260.06477,278.25273000000004,0.0061510379384395126,0.8144280601288476,0.17984538296349326,0.5377594846098781,-0.015201861996556782,-0.05791401743231319,35001004745
1400000US35001000121,"Census Tract 1.21, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3630.7149999999992,22.330014999999996,2957.6506599999993,652.2768199999999,0.006150307859471206,0.814619340818544,0.1796551973922492,0.5375769648678014,-0.014970567329451066,-0.05679527877793636,35001000121
1400000US35001003735,"Census Tract 37.35, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2731.764,16.800420000000003,2225.5494240000003,490.57512,0.006150026136957659,0.8146931521170936,0.17958180867746995,0.5375065342394147,-0.014881315456960675,-0.05636358045570552,35001003735
1400000US35001003714,"Census Tract 37.14, Bernalillo County, New Mexico","Bernalillo County, New Mexico",4582.6785,28.1799765,3734.424198,822.023712,0.006149237067361369,0.8148998883513212,0.17937625604763677,0.5373092668403423,-0.014631332102392813,-0.05515444733903973,35001003714
1400000US35001003201,"Census Tract 32.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1627.4575,10.007061499999999,1326.361782,291.78122700000006,0.0061488926746166945,0.8149901192504259,0.1792865417376491,0.5372231686541736,-0.01452222581568828,-0.054626716103818175,35001003201
1400000US35001003721,"Census Tract 37.21, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1333.351,8.197903000000002,1086.85894,238.86193400000002,0.006148345784418357,0.8151334044823906,0.17914407684098185,0.5370864461045892,-0.014348966768572538,-0.053788687299893174,35001003721
1400000US35001000401,"Census Tract 4.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2040.6930000000002,12.542843000000001,1664.4963520000001,364.524809,0.006146364494806421,0.8156525023607176,0.1786279508970727,0.5365911237016052,-0.013721278886677683,-0.050752652335721696,35001000401
1400000US35001003726,"Census Tract 37.26, Bernalillo County, New Mexico","Bernalillo County, New Mexico",629.3240000000001,3.8676439999999994,513.4172960000001,112.30787199999999,0.006145711906744378,0.8158234804329726,0.17845795170691087,0.5364279766860945,-0.013514533938364541,-0.049752657099475614,35001003726
1400000US35001000128,"Census Tract 1.28, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1605.1200000000003,9.863964000000001,1309.6625520000002,286.279422,0.0061453125,0.815928125,0.17835390624999997,0.5363281249999999,-0.013387998790810233,-0.04914062499999976,35001000128
1400000US35001004734,"Census Tract 47.34, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2936.1870000000004,18.043731,2395.73214,523.665918,0.006145293538865201,0.8159330928173171,0.17834896687438503,0.5363233847163003,-0.01338199175656952,-0.049111569849323654,35001004734
1400000US35001003807,"Census Tract 38.07, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1897.3785000000003,11.654750499999999,1549.49561,337.041589,0.006142554319024906,0.8166507684154741,0.1776354001059883,0.5356385797562265,-0.01251418571284878,-0.04491411827051934,35001003807
1400000US35001000118,"Census Tract 1.18, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1213.272,7.4501100000000005,991.469052,214.87423500000003,0.00614051094890511,0.8171861313868614,0.17710310218978106,0.5351277372262775,-0.011866830245633264,-0.0417829540575356,35001000118
1400000US35001000109,"Census Tract 1.09, Bernalillo County, New Mexico","Bernalillo County, New Mexico",659.1779999999999,4.047089999999999,538.828248,116.58624,0.006139601139601139,0.8174245014245016,0.1768660968660969,0.5349002849002849,-0.01157859561728953,-0.04038880509468751,35001000109
1400000US35001003729,"Census Tract 37.29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",490.6475,3.0119075,401.19106999999997,86.655835,0.0061386382280557835,0.8176767842493847,0.1766152584085316,0.5346595570139459,-0.011273537787926655,-0.03891328475606813,35001003729
1400000US35001003722,"Census Tract 37.22, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1312.128,8.053631999999999,1073.170944,231.469056,0.006137840210711149,0.8178858647936786,0.17640737489025463,0.5344600526777873,-0.011020719717438242,-0.03769044053090949,35001003722
1400000US35001004715,"Census Tract 47.15, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2625.948,16.115163999999996,2148.37688,462.58919199999997,0.006136893799877224,0.818133824432167,0.17616083486801717,0.534223449969306,-0.010720889441152466,-0.0362402051059833,35001004715
1400000US35001000206,"Census Tract 2.06, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1373.328,8.427672,1123.6436640000002,241.849476,0.0061366782006920416,0.8181903114186853,0.17610467128027682,0.5341695501730104,-0.010652585950803883,-0.035909831060451806,35001000206
1400000US35001000402,"Census Tract 4.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1802.442,11.060322,1474.9199279999998,317.240136,0.006136298421807747,0.8182898134863701,0.17600573888091822,0.5340746054519366,-0.010532269061221258,-0.03532787577010711,35001000402
1400000US35001004742,"Census Tract 47.42, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2880.531,17.675181,2357.2707840000003,506.829303,0.006136084284460052,0.8183459174714663,0.17594995610184372,0.534021071115013,-0.010464428692301964,-0.034999741775551214,35001004742
1400000US35001003804,"Census Tract 38.04, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2050.12,12.578539999999998,1678.0136400000001,360.41397000000006,0.006135514018691588,0.8184953271028038,0.1758014018691589,0.533878504672897,-0.010283764083671406,-0.0341258933479935,35001003804
1400000US35001004712,"Census Tract 47.12, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2583.4349999999995,15.843970999999996,2116.2929079999994,452.41815799999995,0.006132908704883227,0.8191779193205945,0.1751227176220807,0.5332271762208066,-0.009458380507140986,-0.030133633071062888,35001004712
1400000US35001000126,"Census Tract 1.26, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1260.5495,7.7295295,1032.956358,220.410771,0.006131873044255699,0.8194492624050066,0.17485292802860974,0.5329682610639248,-0.00913027520555438,-0.028546635462410187,35001000126
1400000US35001000112,"Census Tract 1.12, Bernalillo County, New Mexico","Bernalillo County, New Mexico",725.1075000000001,4.4442775,594.71009,126.26887,0.006129129129129129,0.8201681681681682,0.17413813813813814,0.5322822822822822,-0.008260981658805188,-0.024341989047871323,35001000112
1400000US35001004603,"Census Tract 46.03, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1805.752,11.065064,1481.7075840000002,313.766952,0.006127676447264076,0.8205487708168122,0.17375971451229183,0.5319191118160189,-0.0078007608019200194,-0.02211596771936363,35001004603
1400000US35001004747,"Census Tract 47.47, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1906.2455,11.6808035,1564.1810659999999,331.215088,0.0061276490882207985,0.8205559388861507,0.17375258748151798,0.5319122720551996,-0.007792093245283336,-0.02207404400892921,35001004747
1400000US35001000113,"Census Tract 1.13, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1532.895,9.392565,1257.95124,266.220045,0.006127337488869101,0.8206375779162957,0.17367141585040075,0.5318343722172751,-0.007693376159255636,-0.021596563825886664,35001000113
1400000US35001004727,"Census Tract 47.27, Bernalillo County, New Mexico","Bernalillo County, New Mexico",686.0275,4.2028175,563.16453,118.95984,0.006126310534198702,0.8209066400399401,0.17340389415876184,0.5315776335496755,-0.00736802897226118,-0.020022906816246043,35001004727
1400000US35001003001,"Census Tract 30.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2235.525,13.690925,1836.3613,386.45165000000003,0.006124254928931682,0.8214452086198991,0.17286840898670336,0.5310637322329206,-0.006716797315720621,-0.01687299403943145,35001003001
1400000US35001003723,"Census Tract 37.23, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3279.0419999999995,20.081034,2693.7249839999995,566.672112,0.00612405513561583,0.8214975544686527,0.17281636282792354,0.5310137839039575,-0.006653501247094773,-0.016566840164256025,35001003723
1400000US35043010503,"Census Tract 105.03, Sandoval County, New Mexico","Sandoval County, New Mexico",1587.3739999999998,18.092408,1296.5344639999998,272.46452199999993,0.011397697077059345,0.8167794508414526,0.1716448184233835,1.8494242692648362,-0.012358584230408004,-0.0096754024904911,35043010503
1400000US35001004602,"Census Tract 46.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1754.0010000000002,10.732923,1443.1806000000001,300.860019,0.006119108826049699,0.8227934875749786,0.17152784918594688,0.5297772065124247,-0.0050864720979703236,-0.008987348152628628,35001004602
1400000US35001000123,"Census Tract 1.23, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2570.7309999999998,15.730378999999997,2115.2341079999997,440.89888199999996,0.006119029567854435,0.822814253222138,0.17150720242608036,0.5297573919636087,-0.005061362488345947,-0.008865896624002062,35001000123
1400000US35001002401,"Census Tract 24.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2234.2650000000003,13.668765,1839.11046,382.47132,0.006117790414297318,0.8231389114541022,0.17118440292445164,0.5294476035743295,-0.004668789051871632,-0.006967076026186043,35001002401
1400000US35001004740,"Census Tract 47.40, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3080.727,18.846314999999997,2536.109172,527.1309,0.0061174894756984306,0.8232177573670111,0.17110600841944126,0.5293723689246076,-0.004573449374835533,-0.006505931879066183,35001004740
